ProductVariety,MarketingSpend,CustomerFootfall,StoreSize,EmployeeEfficiency,StoreAge,CompetitorDistance,PromotionsCount,EconomicIndicator,StoreLocation,StoreCategory,MonthlySalesRevenue,CRPV,LTV,Estimated Expense
420,25,2296,481,67.2,5,9,5,92.6,Palo Alto,Electronics,295.04,0.128501742,177.024,294.9114983
372,36,2277,327,82.8,18,9,6,80,Sacramento,Electronics,237.53,0.104317084,142.518,237.4256829
471,42,1863,106,94.1,6,9,7,116.3,Los Angeles,Clothing,225.47,0.121025228,135.282,225.3489748
524,37,2507,232,90.8,2,7,7,83.4,Los Angeles,Grocery,254.58,0.101547667,152.748,254.4784523
569,10,3168,115,54.2,14,10,3,102.5,San Francisco,Clothing,298.26,0.094147727,178.956,298.1658523
341,41,2148,458,53.8,3,9,7,104.6,Palo Alto,Clothing,307.22,0.143026071,184.332,307.0769739
658,16,1632,345,72.3,18,12,4,95.3,Sacramento,Electronics,348.6,0.213602941,209.16,348.3863971
609,36,2140,230,63.2,1,6,7,128.4,Los Angeles,Clothing,285.25,0.133294393,171.15,285.1167056
350,20,1874,58,68.7,28,4,5,93.9,San Francisco,Grocery,175.45,0.093623266,105.27,175.3563767
123,41,2450,201,93,8,14,7,116.2,San Francisco,Electronics,193.79,0.079097959,116.274,193.710902
743,14,2364,270,91.3,24,15,4,115.7,San Francisco,Grocery,329.44,0.139357022,197.664,329.300643
550,13,1274,365,76.5,25,14,5,111,Palo Alto,Grocery,370,0.290423862,222,369.7095761
689,45,2753,258,58.7,15,13,6,132.9,Los Angeles,Clothing,310.33,0.112724301,186.198,310.2172757
587,48,2079,325,87.4,24,6,8,117,Palo Alto,Grocery,352.54,0.16957191,211.524,352.3704281
359,30,1764,345,59.4,24,10,6,93,Palo Alto,Electronics,272.66,0.154569161,163.596,272.5054308
401,38,2517,162,74.9,10,10,7,122.7,Los Angeles,Clothing,219.76,0.08731029,131.856,219.6726897
626,36,1814,451,54.2,15,15,6,80,Los Angeles,Grocery,421.11,0.232144432,252.666,420.8778556
537,22,1576,441,87.3,22,11,5,94.1,Sacramento,Clothing,393.86,0.249911168,236.316,393.6100888
330,12,1754,240,91.3,27,13,4,107.3,Sacramento,Clothing,235.99,0.1345439,141.594,235.8554561
606,20,1157,181,85.1,25,11,4,93.9,Los Angeles,Clothing,270.8,0.234053587,162.48,270.5659464
362,21,2155,85,86.2,24,6,5,94,Palo Alto,Electronics,238.37,0.110612529,143.022,238.2593875
747,35,2233,449,78.6,30,7,6,128,Los Angeles,Grocery,404.24,0.181030004,242.544,404.05897
522,31,1481,480,69.5,8,7,6,87.5,San Francisco,Electronics,387.57,0.261694801,232.542,387.3083052
450,26,1855,57,77.8,16,7,6,91,Los Angeles,Electronics,197.63,0.106539084,118.578,197.5234609
562,31,1078,479,55.7,8,11,5,82.5,San Francisco,Clothing,338.81,0.314294991,203.286,338.495705
464,27,1744,315,52.5,12,7,6,82,San Francisco,Clothing,324.74,0.186204128,194.844,324.5537959
572,23,2073,247,55,3,9,5,84.3,Palo Alto,Electronics,334.85,0.161529185,200.91,334.6884708
406,41,2293,485,57.6,29,14,7,101.5,Los Angeles,Grocery,325.75,0.1420628,195.45,325.6079372
646,12,878,400,77.5,5,4,4,93.3,Sacramento,Electronics,380.99,0.433929385,228.594,380.5560706
521,36,1997,159,78.6,8,14,7,107.5,Los Angeles,Electronics,285.32,0.142874311,171.192,285.1771257
702,39,1385,322,68.1,4,14,6,104.4,Los Angeles,Clothing,390.31,0.281812274,234.186,390.0281877
286,7,1805,74,60.4,30,8,3,100.7,Sacramento,Grocery,143.15,0.079307479,85.89,143.0706925
507,25,2277,55,57.2,30,9,5,84.6,Los Angeles,Grocery,223.89,0.098326746,134.334,223.7916733
382,32,1886,188,62.6,2,11,6,117.9,San Francisco,Electronics,190.08,0.10078473,114.048,189.9792153
556,42,1846,131,84,1,10,8,107.9,Sacramento,Electronics,288.98,0.156543879,173.388,288.8234561
531,33,2056,93,70.6,16,9,6,121.7,Sacramento,Electronics,206.31,0.100345331,123.786,206.2096547
691,10,2999,141,89.1,9,10,4,96.4,Los Angeles,Electronics,311.14,0.103747916,186.684,311.0362521
526,45,2615,197,53.9,9,7,7,100.2,Los Angeles,Grocery,280.92,0.107426386,168.552,280.8125736
285,16,1610,371,62.3,12,12,5,88.2,Palo Alto,Grocery,215.4,0.13378882,129.24,215.2662112
444,29,2161,241,50.2,16,11,5,87.7,Los Angeles,Clothing,272.61,0.126149931,163.566,272.4838501
747,17,2268,233,65.8,25,8,4,104.7,San Francisco,Clothing,319.96,0.141075838,191.976,319.8189242
536,34,2480,212,79.9,23,9,5,80.3,Sacramento,Electronics,313.91,0.126576613,188.346,313.7834234
362,13,2020,166,75.2,1,12,4,107.7,Palo Alto,Clothing,239.11,0.118371287,143.466,238.9916287
272,15,1387,425,70.5,13,10,5,106.2,Los Angeles,Grocery,325.73,0.234844989,195.438,325.495155
512,6,1675,483,62.8,14,8,4,121.5,Sacramento,Grocery,385.29,0.230023881,231.174,385.0599761
346,6,2127,386,81.4,11,12,4,110.8,Los Angeles,Grocery,319.73,0.150319699,191.838,319.5796803
633,37,2182,119,63.6,23,14,6,90.3,Los Angeles,Grocery,267.45,0.122571036,160.47,267.327429
488,18,1509,137,53.1,23,8,5,101.7,Los Angeles,Grocery,249.4,0.165275017,149.64,249.234725
632,12,1849,261,67.2,17,3,4,105.9,Los Angeles,Grocery,348.88,0.188685776,209.328,348.6913142
632,47,2015,415,65.4,5,10,7,125.6,San Francisco,Grocery,425.66,0.211245658,255.396,425.4487543
338,32,1790,51,59.2,29,14,5,89.9,Sacramento,Clothing,153.34,0.085664804,92.004,153.2543352
795,44,1820,156,63.2,8,10,7,125,Sacramento,Electronics,357.4,0.196373626,214.44,357.2036264
537,49,1619,225,74.5,17,12,8,60,Palo Alto,Grocery,309.52,0.191179741,185.712,309.3288203
354,14,3227,424,56.7,12,4,4,103,Los Angeles,Electronics,289.67,0.089764487,173.802,289.5802355
527,7,1535,290,82.5,10,8,4,110.9,San Francisco,Electronics,314.77,0.205061889,188.862,314.5649381
532,6,2262,483,56,29,17,3,117.9,Sacramento,Clothing,340.56,0.150557029,204.336,340.409443
684,29,2390,374,84.6,15,10,5,127.3,Palo Alto,Electronics,384.02,0.160677824,230.412,383.8593222
475,22,2364,497,71.2,8,7,6,120.3,Palo Alto,Clothing,383.22,0.162106599,229.932,383.0578934
706,22,1748,142,83.8,10,7,5,136,Los Angeles,Grocery,310.01,0.177351259,186.006,309.8326487
578,44,2349,94,51.6,17,10,8,97.4,Sacramento,Electronics,254.69,0.108424862,152.814,254.5815751
274,11,2356,295,61.4,12,13,4,85.8,San Francisco,Grocery,193.17,0.081990662,115.902,193.0880093
852,39,2044,219,72.6,26,10,7,103.1,Sacramento,Clothing,423.69,0.207284736,254.214,423.4827153
518,45,1916,95,72.2,2,8,7,102,Sacramento,Electronics,227.4,0.11868476,136.44,227.2813152
504,9,1854,134,54.4,18,13,4,96.6,San Francisco,Grocery,221.18,0.119298813,132.708,221.0607012
601,24,1950,402,86,7,7,5,139.7,San Francisco,Grocery,322.7,0.165487179,193.62,322.5345128
558,35,1933,249,56.6,20,8,6,111.3,Palo Alto,Clothing,355.62,0.183973099,213.372,355.4360269
674,41,1433,478,67.9,8,8,7,101.7,Palo Alto,Grocery,383.64,0.267718074,230.184,383.3722819
181,36,2103,154,64.6,4,4,6,113.6,San Francisco,Electronics,214.1,0.101806942,128.46,213.9981931
331,9,2302,488,73,16,9,3,89.9,Sacramento,Grocery,362.36,0.157410947,217.416,362.2025891
100,47,2729,257,92.9,27,13,7,96.1,San Francisco,Grocery,176.83,0.064796629,106.098,176.7652034
424,15,2921,266,91.1,19,11,5,76.8,Los Angeles,Clothing,251.8,0.086203355,151.08,251.7137966
383,35,1803,152,82,3,16,5,106,San Francisco,Grocery,211.62,0.117371048,126.972,211.502629
459,40,1891,344,71.6,25,6,6,109.9,Palo Alto,Clothing,307.4,0.162559492,184.44,307.2374405
394,16,2475,488,50.9,4,16,4,90.4,Palo Alto,Grocery,322.76,0.130408081,193.656,322.6295919
546,36,1625,277,81,1,11,7,113.6,Los Angeles,Grocery,268.31,0.165113846,160.986,268.1448862
582,42,1380,250,86.5,24,7,8,114.2,San Francisco,Grocery,346.32,0.250956522,207.792,346.0690435
792,29,2928,143,68.7,14,5,5,74.6,Palo Alto,Electronics,307.88,0.105150273,184.728,307.7748497
625,33,2123,210,52.4,22,9,7,122.3,San Francisco,Clothing,319.2,0.150353274,191.52,319.0496467
400,15,1811,230,69.4,23,12,4,95.4,San Francisco,Electronics,271.75,0.150055218,163.05,271.5999448
319,45,1503,412,69.1,4,14,7,108.4,San Francisco,Grocery,287.56,0.191324019,172.536,287.368676
561,43,2215,250,93.4,9,9,7,116.8,San Francisco,Electronics,270.1,0.121941309,162.06,269.9780587
483,29,2012,240,81.4,16,6,6,82.7,Los Angeles,Clothing,308.43,0.153295229,185.058,308.2767048
531,10,1166,162,65.1,29,12,3,95.1,Palo Alto,Grocery,285.19,0.244588336,171.114,284.9454117
546,26,1817,431,79.2,19,5,5,82.4,San Francisco,Grocery,345.08,0.189917446,207.048,344.8900826
233,28,2749,336,80.3,17,10,5,82.5,Sacramento,Electronics,192.54,0.070040015,115.524,192.46996
631,41,3169,249,72.7,23,11,7,110,San Francisco,Electronics,326.95,0.103171347,196.17,326.8468287
469,38,1951,279,63.6,2,11,7,130.9,Los Angeles,Clothing,269.37,0.138067658,161.622,269.2319323
621,31,1663,136,85.2,29,5,6,99.6,San Francisco,Electronics,334.01,0.200847865,200.406,333.8091521
290,36,2633,107,63,21,11,7,93.7,Palo Alto,Clothing,206.97,0.078606153,124.182,206.8913938
641,32,1520,394,59.8,25,5,6,93.4,Palo Alto,Clothing,389.46,0.256223684,233.676,389.2037763
504,36,3356,204,82.6,8,13,7,98.3,Sacramento,Electronics,294.68,0.087806913,176.808,294.5921931
301,9,1502,442,85.2,4,9,3,115.5,San Francisco,Grocery,274.45,0.182723036,164.67,274.267277
563,25,1939,357,60.1,10,10,5,105.2,Palo Alto,Electronics,324.83,0.167524497,194.898,324.6624755
456,49,2764,116,61.2,13,9,7,140,Sacramento,Electronics,234.49,0.084837192,140.694,234.4051628
596,7,2061,279,50.7,8,9,4,121.5,San Francisco,Clothing,300.73,0.145914605,180.438,300.5840854
499,12,1601,154,67.8,13,7,3,109.3,San Francisco,Grocery,292.56,0.18273579,175.536,292.3772642
734,30,2094,135,64.5,13,8,5,94.9,San Francisco,Grocery,303.8,0.145081184,182.28,303.6549188
242,45,2515,146,90.3,7,7,8,87,Los Angeles,Electronics,228.51,0.090858847,137.106,228.4191412
490,10,2454,89,66.7,6,15,4,64.9,Palo Alto,Grocery,211.71,0.086271394,127.026,211.6237286
100,39,1885,173,77.9,29,9,7,83.9,San Francisco,Electronics,188.83,0.100175066,113.298,188.7298249
590,23,1894,99,71.7,14,4,6,108.5,Sacramento,Electronics,323.4,0.170749736,194.04,323.2292503
850,50,2346,276,61.3,22,6,8,108.8,San Francisco,Grocery,442.85,0.188768116,265.71,442.6612319
586,45,2431,85,85.5,1,10,7,108.4,Sacramento,Clothing,224.43,0.092320033,134.658,224.33768
471,15,2635,256,66.3,3,5,4,90.3,Palo Alto,Electronics,288.17,0.109362429,172.902,288.0606376
192,48,2984,248,81.9,11,12,8,106.9,Sacramento,Electronics,160.8,0.053887399,96.48,160.7461126
564,20,1368,227,51,10,13,5,84.3,Sacramento,Grocery,318.36,0.232719298,191.016,318.1272807
398,44,2399,181,91.3,17,8,8,110.2,San Francisco,Clothing,257.33,0.107265527,154.398,257.2227345
334,46,1849,440,86.6,29,17,7,108.5,Palo Alto,Grocery,325.07,0.175808545,195.042,324.8941915
372,29,2849,169,58.6,9,6,5,118,Los Angeles,Grocery,246.69,0.086588277,148.014,246.6034117
385,37,2567,400,52.5,28,7,6,113.6,Palo Alto,Grocery,300.73,0.117152318,180.438,300.6128477
491,15,1793,256,59.4,18,12,4,88.4,Palo Alto,Grocery,263.75,0.147099833,158.25,263.6029002
515,48,1918,151,69.2,9,12,8,103.8,Los Angeles,Grocery,264.34,0.137820647,158.604,264.2021794
677,43,2197,276,83.3,4,10,6,108.2,Palo Alto,Grocery,369.59,0.168224852,221.754,369.4217751
677,33,2392,430,81.5,22,14,6,65.5,Sacramento,Grocery,446.4,0.186622074,267.84,446.2133779
379,18,2138,65,75.3,15,9,4,92.3,Los Angeles,Electronics,172.68,0.080767072,103.608,172.5992329
246,30,2167,171,79.3,25,14,6,62.7,Los Angeles,Electronics,173.43,0.080032303,104.058,173.3499677
403,28,2702,361,70.3,12,11,6,126.6,San Francisco,Grocery,248.79,0.09207624,149.274,248.6979238
624,44,2454,268,86,18,14,8,77.9,San Francisco,Grocery,370.83,0.151112469,222.498,370.6788875
375,36,500,134,66.8,16,7,6,90.2,Los Angeles,Grocery,257.97,0.51594,154.782,257.45406
381,35,2031,327,85.3,5,14,7,95.2,Palo Alto,Electronics,315.89,0.15553422,189.534,315.7344658
422,36,2598,133,53,16,11,7,86,Sacramento,Electronics,211.68,0.08147806,127.008,211.5985219
400,36,1928,133,59.9,1,13,7,88.2,Los Angeles,Clothing,235.06,0.121919087,141.036,234.9380809
593,36,3067,230,72.6,3,14,6,91.9,San Francisco,Grocery,286.32,0.09335507,171.792,286.2266449
507,13,1917,181,85.3,9,8,4,109.4,Palo Alto,Grocery,254.12,0.132561294,152.472,253.9874387
680,25,1922,383,50.1,5,10,5,99.1,Los Angeles,Grocery,424.79,0.221014568,254.874,424.5689854
631,8,1598,306,61.3,19,8,3,118.1,Palo Alto,Electronics,367.03,0.229680851,220.218,366.8003191
449,14,1386,183,61,25,4,3,116,Palo Alto,Electronics,290.04,0.209264069,174.024,289.8307359
713,16,1983,344,67.9,19,1,4,104.6,Palo Alto,Grocery,336.78,0.169833585,202.068,336.6101664
526,38,1451,490,74.8,30,14,6,92.1,Palo Alto,Clothing,410.08,0.282618884,246.048,409.7973811
488,49,1419,336,90.4,13,16,7,78.8,Sacramento,Electronics,355.66,0.250641297,213.396,355.4093587
577,10,2429,115,56.6,1,17,4,115.5,Los Angeles,Clothing,302.6,0.124578016,181.56,302.475422
473,42,2238,363,78,5,7,6,71.2,Los Angeles,Electronics,354.11,0.158226095,212.466,353.9517739
744,23,1877,124,61.7,9,5,5,102,San Francisco,Grocery,360.79,0.192216303,216.474,360.5977837
638,16,2132,345,81.7,20,10,5,107.9,Palo Alto,Clothing,348.31,0.16337242,208.986,348.1466276
328,29,2184,354,79.9,12,9,6,94.8,Sacramento,Clothing,285.92,0.130915751,171.552,285.7890842
655,19,1527,446,66.4,9,14,5,84.2,Los Angeles,Electronics,396.66,0.259764244,237.996,396.4002358
395,48,2889,274,71.8,6,12,8,100.7,San Francisco,Grocery,286.53,0.099179647,171.918,286.4308204
299,24,1844,418,51.1,16,11,5,72.8,San Francisco,Electronics,292.54,0.158644252,175.524,292.3813557
489,44,2377,206,81.2,12,8,7,103.4,Palo Alto,Electronics,249.16,0.104821203,149.496,249.0551788
522,50,2200,179,86.7,5,13,8,103.8,Sacramento,Grocery,326.22,0.148281818,195.732,326.0717182
640,37,2021,73,68.9,25,12,6,113.6,Sacramento,Clothing,260.52,0.128906482,156.312,260.3910935
557,40,1472,140,52.6,4,2,7,108,Los Angeles,Grocery,297.08,0.201820652,178.248,296.8781793
311,23,2643,159,69.6,4,9,6,84.6,Los Angeles,Clothing,242.8,0.091865305,145.68,242.7081347
770,7,2275,342,69.3,15,11,3,99.4,Sacramento,Grocery,394.55,0.173428571,236.73,394.3765714
310,43,2179,302,73.3,29,10,7,101.8,Los Angeles,Clothing,224.45,0.103005966,134.67,224.346994
424,36,1212,170,81.6,27,12,6,119,San Francisco,Grocery,288.86,0.238333333,173.316,288.6216667
474,18,2121,91,65.3,10,9,5,84.1,San Francisco,Grocery,266.15,0.125483263,159.69,266.0245167
489,34,2656,361,79.4,30,12,7,118.6,Sacramento,Electronics,326.23,0.12282756,195.738,326.1071724
683,35,1977,265,80.5,29,8,6,118.8,Los Angeles,Clothing,325.24,0.164511887,195.144,325.0754881
562,49,2048,178,72.9,5,8,8,100.7,Sacramento,Electronics,277.46,0.135478516,166.476,277.3245215
663,38,1918,330,88.5,22,12,6,106.2,Palo Alto,Grocery,401.21,0.209181439,240.726,401.0008186
567,33,2221,359,51.9,29,11,6,109.2,Sacramento,Grocery,354.94,0.159810896,212.964,354.7801891
450,45,2618,208,50,13,12,8,106.7,Palo Alto,Grocery,260.63,0.099553094,156.378,260.5304469
320,41,1509,494,91.8,17,8,7,106.4,Palo Alto,Grocery,323.82,0.214592445,194.292,323.6054076
755,36,2944,256,62.5,28,14,6,83.5,Palo Alto,Clothing,399.65,0.135750679,239.79,399.5142493
737,17,2274,372,85.4,15,6,5,104.7,Los Angeles,Electronics,376.91,0.165747581,226.146,376.7442524
314,25,1906,408,85.1,30,11,6,92.8,Sacramento,Clothing,290.7,0.152518363,174.42,290.5474816
391,12,1981,497,61.4,25,5,4,111.2,Los Angeles,Clothing,348.7,0.176022211,209.22,348.5239778
534,14,1349,209,50.9,20,6,4,107.7,Los Angeles,Grocery,280.34,0.207813195,168.204,280.1321868
441,19,2354,83,68,25,13,5,100.2,Sacramento,Electronics,273.19,0.116053526,163.914,273.0739465
622,38,1420,64,64.7,25,15,7,83.7,Los Angeles,Electronics,241.43,0.170021127,144.858,241.2599789
495,45,2462,197,70.2,26,8,7,117,San Francisco,Clothing,307.35,0.12483753,184.41,307.2251625
708,10,2406,140,91.6,26,4,3,107.4,Sacramento,Electronics,317.86,0.132111388,190.716,317.7278886
658,46,2860,102,78.1,10,17,7,120.5,Sacramento,Electronics,327.66,0.114566434,196.596,327.5454336
357,23,1860,150,51.7,3,6,5,95.9,Los Angeles,Clothing,209.48,0.112623656,125.688,209.3673763
397,20,2582,84,81.8,25,9,4,103.3,Sacramento,Grocery,220.63,0.085449264,132.378,220.5445507
603,37,1588,258,90.1,29,16,7,92,Palo Alto,Grocery,348.74,0.219609572,209.244,348.5203904
486,8,1734,429,70.9,1,10,3,115.2,Sacramento,Clothing,385.03,0.22204729,231.018,384.8079527
558,33,2422,92,66.2,17,11,6,85.7,Palo Alto,Grocery,285.98,0.11807597,171.588,285.861924
580,12,2003,400,55.6,8,9,3,109.4,Palo Alto,Clothing,315.69,0.157608587,189.414,315.5323914
676,29,2143,476,75.6,24,7,6,89.5,Los Angeles,Electronics,417.88,0.194997667,250.728,417.6850023
530,46,1815,491,66.5,19,6,8,95.9,San Francisco,Electronics,413.24,0.227680441,247.944,413.0123196
248,37,2004,98,58.9,20,12,7,106.1,San Francisco,Electronics,207.63,0.103607784,124.578,207.5263922
281,44,1899,330,52.7,10,13,7,103.4,Sacramento,Grocery,267.84,0.141042654,160.704,267.6989573
432,23,2607,185,59.6,29,10,5,136.2,San Francisco,Electronics,244.14,0.093647871,146.484,244.0463521
458,11,3057,81,69.4,21,9,4,95.1,San Francisco,Electronics,245.54,0.080320576,147.324,245.4596794
592,5,1581,205,83.5,15,7,3,99.3,San Francisco,Grocery,315.69,0.199677419,189.414,315.4903226
432,33,2349,482,61.4,11,18,6,107.4,Los Angeles,Electronics,302.67,0.128850575,181.602,302.5411494
267,26,1497,446,75.5,27,1,6,78.7,Palo Alto,Clothing,272.67,0.182144289,163.602,272.4878557
689,38,1541,100,79.5,6,10,6,111.6,San Francisco,Electronics,304.17,0.197384815,182.502,303.9726152
316,35,1960,291,70.5,24,8,6,109.4,Sacramento,Electronics,280.22,0.142969388,168.132,280.0770306
294,8,2444,368,73,10,7,3,96.4,San Francisco,Electronics,277.12,0.113387889,166.272,277.0066121
496,45,3325,234,53.8,8,9,8,103.5,Los Angeles,Electronics,273.22,0.082171429,163.932,273.1378286
305,37,2799,98,52,5,10,6,104.5,San Francisco,Grocery,194.53,0.069499821,116.718,194.4605002
535,45,2585,233,85,8,13,7,100.4,Los Angeles,Clothing,261.87,0.101303675,157.122,261.7686963
515,45,1921,234,91.9,23,6,8,102,Los Angeles,Grocery,286.56,0.149172306,171.936,286.4108277
198,45,3010,330,59.6,25,6,7,105,Sacramento,Electronics,273.07,0.09072093,163.842,272.9792791
630,22,1910,282,72.3,1,10,5,78,Palo Alto,Clothing,296.63,0.155303665,177.978,296.4746963
359,34,1916,483,82.1,27,12,7,113.3,Palo Alto,Electronics,345.04,0.180083507,207.024,344.8599165
306,17,1589,407,93.3,11,10,5,88.5,San Francisco,Grocery,300.39,0.189043424,180.234,300.2009566
632,14,1309,234,85.9,15,6,4,101.4,Sacramento,Clothing,285.71,0.218265852,171.426,285.4917341
612,23,1094,273,68.1,1,11,6,95.9,San Francisco,Electronics,377.83,0.345365631,226.698,377.4846344
167,38,1386,90,54.7,20,17,7,130.4,Sacramento,Grocery,169.91,0.122590188,101.946,169.7874098
703,49,1349,388,70.3,2,5,8,110.5,Palo Alto,Clothing,349.93,0.259399555,209.958,349.6706004
517,17,1811,495,56.8,12,11,4,104.7,Palo Alto,Grocery,318.01,0.175599117,190.806,317.8344009
412,5,1633,292,78.3,16,13,4,112.6,San Francisco,Clothing,233.8,0.143172076,140.28,233.6568279
626,31,2828,54,61.9,20,12,6,93.2,Sacramento,Grocery,223.38,0.078988685,134.028,223.3010113
567,24,1486,274,81.9,1,7,5,99,San Francisco,Grocery,324.82,0.21858681,194.892,324.6014132
796,37,1564,283,80.1,24,3,6,83.6,Los Angeles,Clothing,371.32,0.23741688,222.792,371.0825831
682,11,2090,168,71,7,9,4,109.3,San Francisco,Grocery,288.48,0.138028708,173.088,288.3419713
413,40,1823,447,76.4,4,8,7,81,Los Angeles,Electronics,310.87,0.170526604,186.522,310.6994734
330,16,2381,140,55.7,14,7,4,104.6,Los Angeles,Clothing,185.5,0.077908442,111.3,185.4220916
503,36,1531,380,85.9,10,12,7,86,Sacramento,Clothing,346.28,0.226178968,207.768,346.053821
369,34,1976,474,71,11,12,6,80.1,Palo Alto,Clothing,330.75,0.167383603,198.45,330.5826164
664,29,2689,246,73.5,23,8,5,96.3,Palo Alto,Grocery,339.86,0.126388992,203.916,339.733611
499,48,2253,69,52.8,15,11,8,99.1,Palo Alto,Electronics,251.19,0.111491345,150.714,251.0785087
518,23,2574,211,94.5,24,10,5,114.4,Palo Alto,Grocery,246,0.095571096,147.6,245.9044289
634,15,1674,271,69.5,26,8,5,90.3,Palo Alto,Electronics,351.78,0.210143369,211.068,351.5698566
751,5,1558,231,73.5,10,7,4,93,Palo Alto,Clothing,401.65,0.25779846,240.99,401.3922015
440,29,1946,343,86.2,25,8,6,99.3,Sacramento,Electronics,339.25,0.174331963,203.55,339.075668
673,18,2088,142,90.2,30,10,4,113.9,Los Angeles,Electronics,340,0.162835249,204,339.8371648
705,34,2585,412,59.3,20,13,6,102.7,Palo Alto,Clothing,367.51,0.142170213,220.506,367.3678298
717,28,2589,438,85.1,27,12,6,99.3,San Francisco,Grocery,381.22,0.147246041,228.732,381.072754
311,49,2016,229,52.8,24,9,8,87.3,Palo Alto,Clothing,205.17,0.101770833,123.102,205.0682292
